"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC154761",2.45353126470588,5.42401754545455,16.8280698269077,1.57009077834332e-20,5.07291265673764e-20,36.3055938675445
"CCL19",2.25605545882353,4.00708438636364,16.8277810363221,1.57110005766529e-20,5.07535500002438e-20,36.3049425956049
"TUT4",1.15767223529412,3.34557686363636,16.8251700603816,1.5802551102486e-20,5.10410679917768e-20,36.299054021194
"MYH6",3.27066155882353,10.2190589090909,16.8193165500081,1.60097792505095e-20,5.17020631865559e-20,36.2858500272328
"NFIL3",1.86538593529412,4.74272511363636,16.8188506343778,1.60263923806811e-20,5.17473714006776e-20,36.284798895498
"MATN1-AS1",1.3899888,3.61864079545455,16.8136656109528,1.62124653808994e-20,5.23397431926152e-20,36.2730997243654
"CHGB",1.48177194117647,3.23656040909091,16.8126047849539,1.62508055433621e-20,5.24550655244328e-20,36.2707058091354
"MRPL44",4.06859425882353,6.00682109090909,16.8106686855428,1.63210182189273e-20,5.26732136235784e-20,36.266336415483
"CFI",1.30346481764706,7.21485231818182,16.8103136906191,1.63339256407968e-20,5.27063786141175e-20,36.2655352213446
"CORT",5.78341025882353,6.36824763636364,16.8083211860432,1.64065654619731e-20,5.29294833316895e-20,36.2610380690741
"ARHGEF37",2.08312968823529,6.14615147727273,16.8082723164246,1.64083512125495e-20,5.29294833316895e-20,36.2609277636405
"LINC01343",2.1111772,6.93248734090909,16.8042128830752,1.65573817094847e-20,5.34016213821282e-20,36.2517642294324
"MRPL41",2.27955844705882,7.0021645,16.8015848394813,1.66545982599989e-20,5.37061954751339e-20,36.2458309517883
"STAT2",1.36948085882353,4.58929252272727,16.8015153111823,1.66571781393274e-20,5.37061954751339e-20,36.2456739698322
"CLIP3",1.55863938823529,4.37284418181818,16.7963850482574,1.68486678182964e-20,5.43148557669961e-20,36.2340894529885
"CRYGD",1.23243142352941,5.65570127272727,16.7935621397338,1.69549903421437e-20,5.464881199257e-20,36.2277139882814
"H2AC4",1.01987460588235,3.15074727272727,16.7902431113895,1.70808744522791e-20,5.50457009375894e-20,36.2202170269647
